事件码,反应时间,按键次数
32,184079,10
31,188146,11
31,192212,12
2,193450,13
32,195512,14
1,196522,15
31,198579,16
2,199770,17
32,201829,18
1,202970,19
32,205029,20
1,205954,21
31,208012,22
2,209050,23
31,211112,24
2,212370,25
31,214428,26
2,216130,27
32,218195,28
1,219490,29
32,221545,30
1,222754,31
32,224812,32
1,226065,33
32,228128,34
1,229425,35
31,231495,36
2,232753,37
32,234811,38
1,236001,39
31,238061,40
2,239065,41
31,241128,42
2,242417,43
32,244478,44
1,245841,45
31,247911,46
2,249529,47
31,251594,48
2,252913,49
32,254978,50
1,256401,51
31,258461,52
2,259745,53
31,261811,54
2,262961,55
32,265027,56
1,266577,57
32,268644,58
1,269753,59
32,271811,60
1,273104,61
32,275161,62
1,276432,63
31,278494,64
2,279560,65
31,281627,66
2,282936,67
104,284977,68
102,305078,69
103,305993,70
42,307527,71
41,311593,72
2,312896,73
41,314960,74
2,316128,75
42,318193,76
1,319279,77
41,321343,78
2,322543,79
42,324610,80
1,325959,81
42,328026,82
1,329215,83
41,331276,84
2,332591,85
41,334659,86
2,336303,87
41,338359,88
2,339607,89
42,341676,90
1,342839,91
42,344909,92
1,345967,93
42,348026,94
1,349207,95
42,351276,96
1,352311,97
41,354376,98
2,355719,99
42,357776,100
1,359119,101
41,361175,102
2,362287,103
41,364342,104
2,365622,105
42,367692,106
1,368758,107
41,370825,108
2,372174,109
41,374242,110
2,375502,111
42,377558,112
1,378798,113
41,380858,114
2,382190,115
41,384258,116
2,385382,117
42,387442,118
1,388974,119
42,391041,120
1,392102,121
42,394158,122
1,395270,123
42,397325,124
1,398222,125
41,400291,126
2,401718,127
41,403775,128
2,405174,129
104,407224,130
102,427325,131
103,428241,132
32,429774,133
1,430685,134
33,432741,135
2,433917,136
32,435974,137
1,437157,138
33,439224,139
2,440357,140
32,442424,141
1,443501,142
33,445557,143
2,446461,144
33,448524,145
2,449637,146
33,451707,147
2,452957,148
33,455023,149
2,456189,150
32,458257,151
1,459308,152
33,461373,153
2,462612,154
32,464673,155
1,465844,156
32,467907,157
1,469164,158
32,471223,159
1,472084,160
32,474140,161
1,475292,162
33,477356,163
2,478428,164
32,480490,165
1,481868,166
33,483923,167
2,485020,168
33,487090,169
2,488108,170
32,490173,171
1,491276,172
32,493339,173
1,494604,174
32,496673,175
1,497804,176
33,499873,177
2,501100,178
33,503156,179
2,505220,180
33,507222,181
2,508452,182
32,510506,183
1,511691,184
32,513756,185
1,514739,186
33,516806,187
2,518099,188
33,520155,189
2,521187,190
32,523255,191
1,524419,192
104,526472,193
102,546573,194
103,547488,195
42,549022,196
1,550083,197
43,552138,198
2,553075,199
42,555138,200
1,556210,201
43,558271,202
2,559098,203
42,561155,204
1,562306,205
43,564371,206
2,565378,207
43,567438,208
2,568754,209
43,570821,210
2,571834,211
43,573904,212
2,575210,213
42,577271,214
1,578498,215
43,580554,216
2,581802,217
42,583871,218
1,585138,219
42,587204,220
1,588882,221
42,590937,222
1,592146,223
42,594204,224
1,596306,225
43,598271,226
2,599194,227
42,601254,228
1,602474,229
43,604537,230
2,605681,231
43,607737,232
2,608689,233
42,610754,234
1,611969,235
42,614037,236
1,614969,237
42,617037,238
1,618017,239
43,620087,240
2,621097,241
43,623153,242
2,624321,243
43,626387,244
2,627577,245
42,629637,246
1,630689,247
42,632753,248
1,633689,249
43,635753,250
2,636633,251
43,638686,252
2,639441,253
42,641503,254
1,642657,255
104,644703,256
102,664804,257
103,665719,258
52,667236,259
53,671286,260
2,672736,261
52,674786,262
53,678836,263
2,680328,264
52,682369,265
1,683520,266
53,685569,267
2,686944,268
53,688985,269
2,690432,270
53,692469,271
2,694063,272
53,696102,273
2,697735,274
52,699785,275
1,701031,276
53,703068,277
2,704495,278
52,706535,279
1,707703,280
52,709752,281
1,711695,282
52,713735,283
1,715087,284
52,717135,285
1,718487,286
53,720535,287
2,721871,288
52,723918,289
1,725071,290
53,727118,291
2,728263,292
53,730301,293
2,731511,294
52,733551,295
1,735359,296
52,737401,297
1,738591,298
52,740634,299
53,744684,300
2,745790,301
53,747834,302
2,749342,303
53,751384,304
2,752542,305
52,754584,306
1,756134,307
52,758184,308
1,759246,309
53,761284,310
2,762358,311
53,764400,312
2,765198,313
52,767250,314
1,768198,315
105,770250,316
102,830351,317
103,831266,318
32,832799,319
1,833669,320
32,835732,321
1,836596,322
31,838666,323
2,839532,324
31,841599,325
2,842428,326
32,844499,327
1,845644,328
32,847699,329
1,848636,330
32,850699,331
1,851708,332
31,853765,333
2,854876,334
32,856932,335
1,858156,336
31,860215,337
2,860956,338
32,863015,339
1,863836,340
32,865898,341
1,866732,342
32,868798,343
1,869524,344
31,871582,345
2,872444,346
31,874498,347
2,875284,348
31,877348,349
2,878172,350
31,880231,351
2,880892,352
31,882948,353
2,883779,354
31,885848,355
2,886467,356
31,888531,357
2,889427,358
32,891481,359
1,892555,360
32,894614,361
1,895411,362
32,897481,363
1,898011,364
31,900081,365
2,900715,366
31,902781,367
2,903427,368
31,905481,369
2,906123,370
32,908181,371
1,909003,372
31,911064,373
2,911835,374
32,913897,375
1,914643,376
32,916697,377
1,917315,378
104,919364,379
102,939465,380
103,940380,381
42,941914,382
1,942714,383
42,944780,384
1,945554,385
41,947613,386
2,948578,387
41,950647,388
2,951450,389
42,953513,390
1,954154,391
42,956213,392
1,956906,393
42,958963,394
1,959562,395
41,961630,396
2,962290,397
42,964346,398
1,965138,399
41,967196,400
2,967866,401
42,969930,402
1,970570,403
42,972630,404
1,973322,405
42,975380,406
1,976130,407
41,978196,408
2,978921,409
41,980979,410
2,981809,411
41,983879,412
2,984681,413
41,986746,414
2,987497,415
41,989563,416
2,990481,417
41,992546,418
2,993217,419
41,995279,420
2,995897,421
42,997962,422
1,998897,423
42,1000962,424
1,1001649,425
42,1003712,426
1,1004521,427
2,1004785,428
41,1006579,429
2,1007337,430
41,1009395,431
2,1010385,432
41,1012445,433
2,1013305,434
42,1015362,435
1,1016305,436
41,1018362,437
2,1019185,438
42,1021245,439
1,1022057,440
42,1024112,441
1,1024896,442
104,1026945,443
102,1047046,444
103,1047961,445
32,1049495,446
1,1050280,447
33,1052345,448
2,1053072,449
33,1055128,450
2,1055752,451
33,1057811,452
2,1058432,453
33,1060494,454
2,1061016,455
33,1063078,456
2,1063848,457
33,1065911,458
2,1066736,459
32,1068794,460
1,1069672,461
33,1071728,462
2,1072615,463
32,1074677,464
1,1075735,465
33,1077794,466
2,1078567,467
32,1080627,468
1,1081447,469
32,1083511,470
1,1084295,471
32,1086361,472
1,1086991,473
32,1089061,474
1,1089671,475
32,1091727,476
1,1092343,477
32,1094410,478
1,1095087,479
