事件码,反应时间,按键次数
11,27299,4
2,28151,5
22,29482,6
1,30327,7
22,31666,8
1,32423,9
22,33699,10
1,34399,11
22,35999,12
1,36703,13
22,38216,14
1,38847,15
22,40282,16
1,40887,17
22,42599,18
1,43198,19
22,44682,20
1,45246,21
22,46932,22
1,47462,23
22,48999,24
1,49486,25
22,51115,26
1,51582,27
11,53232,28
2,53886,29
11,55415,30
2,55966,31
22,57582,32
1,58070,33
22,59798,34
1,60286,35
22,61932,36
1,62374,37
22,64232,38
1,64678,39
22,66382,40
1,66854,41
22,68498,42
1,68902,43
22,70715,44
1,71150,45
22,72915,46
1,73366,47
22,75232,48
1,75694,49
11,77265,50
2,77758,51
22,79331,52
1,79798,53
22,81598,54
1,82086,55
11,83631,56
2,84126,57
22,85781,58
1,86334,59
11,87881,60
2,88373,61
22,89931,62
1,90493,63
11,92081,64
2,92565,65
22,94331,66
1,94781,67
11,96398,68
2,96845,69
11,98498,70
2,99037,71
11,100581,72
2,101053,73
22,102781,74
1,103285,75
22,104964,76
1,105549,77
22,107214,78
1,107805,79
22,109414,80
1,109925,81
22,111647,82
1,112181,83
22,113814,84
1,114333,85
22,116131,86
1,116629,87
22,118314,88
1,118749,89
22,120430,90
1,120829,91
11,122664,92
2,123117,93
22,124980,94
1,125429,95
11,127147,96
2,127637,97
22,129297,98
1,129773,99
22,131497,100
1,131989,101
22,133814,102
1,134309,103
22,136063,104
1,136660,105
22,138363,106
1,138836,107
22,140430,108
1,140924,109
22,142647,110
1,143060,111
22,144897,112
1,145324,113
11,146947,114
2,147476,115
22,148980,116
1,149444,117
11,151080,118
2,151596,119
22,153146,120
1,153492,121
11,155213,122
2,155588,123
22,179313,124
1,179908,125
22,181396,126
1,181923,127
22,183513,128
1,183955,129
22,185629,130
1,186003,131
22,187846,132
1,188243,133
22,189912,134
1,190515,135
22,192096,136
1,192787,137
22,194196,138
1,194651,139
22,196246,140
1,196843,141
22,198279,142
1,198899,143
22,200445,144
1,200987,145
22,202712,146
1,203299,147
22,204862,148
1,205475,149
22,206962,150
1,207667,151
22,209195,152
1,209891,153
11,211495,154
2,212075,155
22,213745,156
1,214267,157
11,215779,158
2,216243,159
22,217912,160
1,218483,161
11,219962,162
2,220515,163
22,222278,164
1,222915,165
22,224445,166
1,225091,167
22,226695,168
1,227346,169
22,228978,170
1,229586,171
22,231195,172
1,231810,173
22,233378,174
1,234018,175
22,235645,176
1,236242,177
11,237795,178
2,238466,179
22,239978,180
1,240642,181
22,242278,182
1,243034,183
22,244461,184
1,245218,185
22,246745,186
1,247418,187
22,248994,188
1,249626,189
22,251228,190
1,251898,191
22,253528,192
1,254050,193
11,255811,194
2,256474,195
22,258094,196
1,258594,197
22,260361,198
1,260810,199
22,262628,200
1,263178,201
22,264761,202
1,265298,203
22,267044,204
1,267674,205
22,269361,206
1,269930,207
22,271644,208
1,272122,209
22,273961,210
1,274553,211
22,276044,212
1,276777,213
11,278144,214
2,278817,215
22,280227,216
1,280825,217
11,282294,218
2,282729,219
22,284494,220
